Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit
Antigua and Barbuda ;Baby Food;Online;M;01/20/2021;957081544;01/22/2021;552;255.28;159.42;140914.56;87999.84;52914.72
Panama;Snacks;Offline;C;01/20/2021;301644504;01/22/2021;2167;152.58;97.44;330640.86;211152.48;119488.38
Czech Republic;Beverages;Offline;C;01/20/2021;478051030;01/22/2021;4778;47.45;31.79;226716.10;151892.62;74823.48
North Korea;Cereal;Offline;L;01/20/2021;892599952;01/22/2021;9016;205.70;117.11;1854591.20;1055863.76;798727.44
Sri Lanka;Snacks;Offline;C;01/20/2021;571902596;01/22/2021;7542;152.58;97.44;1150758.36;734892.48;415865.88
Morocco;Personal Care;Offline;L;01/20/2021;412882792;01/22/2021;48;81.73;56.67;3923.04;2720.16;1202.88
Federated States of Micronesia;Clothes;Offline;H;01/20/2021;932776868;01/22/2021;8258;109.28;35.84;902434.24;295966.72;606467.52
Bosnia and Herzegovina;Clothes;Online;M;01/20/2021;919133651;01/22/2021;927;109.28;35.84;101302.56;33223.68;68078.88
Afghanistan;Clothes;Offline;M;01/20/2021;579814469;01/22/2021;8841;109.28;35.84;966144.48;316861.44;649283.04
Ethiopia;Baby Food;Online;M;01/20/2021;192993152;01/22/2021;9817;255.28;159.42;2506083.76;1565026.14;941057.62
Turkey;Office Supplies;Offline;C;01/20/2021;557156026;01/22/2021;3704;651.21;524.96;2412081.84;1944451.84;467630.00
Oman;Cosmetics;Online;M;01/20/2021;741101920;01/22/2021;7382;437.20;263.33;3227410.40;1943902.06;1283508.34
Malaysia;Cereal;Offline;L;01/20/2021;333942162;01/22/2021;9762;205.70;117.11;2008043.40;1143227.82;864815.58
Saint Lucia;Cosmetics;Offline;H;01/20/2021;795100581;01/22/2021;6786;437.20;263.33;2966839.20;1786957.38;1179881.82
Saint Vincent and the Grenadines;Baby Food;Online;L;01/20/2021;504313504;01/22/2021;6428;255.28;159.42;1640939.84;1024751.76;616188.08
Lebanon;Meat;Offline;H;01/20/2021;611629760;01/22/2021;3693;421.89;364.69;1558039.77;1346800.17;211239.60
Austria;Cereal;Offline;C;01/20/2021;987410676;01/22/2021;5616;205.70;117.11;1155211.20;657689.76;497521.44
Bulgaria;Office Supplies;Online;L;01/20/2021;672330081;01/22/2021;6266;651.21;524.96;4080481.86;3289399.36;791082.50
Mexico;Beverages;Online;C;01/20/2021;127374303;01/22/2021;1742;47.45;31.79;82657.90;55378.18;27279.72
Trinidad and Tobago;Baby Food;Offline;C;01/20/2021;783842170;01/22/2021;5172;255.28;159.42;1320308.16;824520.24;495787.92
Libya;Beverages;Offline;L;01/20/2021;993345010;01/22/2021;1718;47.45;31.79;81519.10;54615.22;26903.88
Algeria;Baby Food;Offline;M;01/20/2021;977806651;01/22/2021;3572;255.28;159.42;911860.16;569448.24;342411.92
Estonia;Fruits;Online;L;01/20/2021;579463422;01/22/2021;4958;9.33;6.92;46258.14;34309.36;11948.78
Tuvalu;Beverages;Offline;L;01/20/2021;610864150;01/22/2021;7132;47.45;31.79;338413.40;226726.28;111687.12
Saudi Arabia;Snacks;Offline;L;01/20/2021;604870164;01/22/2021;3378;152.58;97.44;515415.24;329152.32;186262.92
Cuba;Cereal;Online;H;01/20/2021;164655292;01/22/2021;4015;205.70;117.11;825885.50;470196.65;355688.85
Montenegro;Fruits;Offline;L;01/20/2021;313705861;01/22/2021;1390;9.33;6.92;12968.70;9618.80;3349.90
Guatemala;Office Supplies;Online;M;01/20/2021;345820701;01/22/2021;4885;651.21;524.96;3181160.85;2564429.60;616731.25
Guinea;Baby Food;Online;M;01/20/2021;975111138;01/22/2021;5910;255.28;159.42;1508704.80;942172.20;566532.60
Vanuatu;Snacks;Online;C;01/20/2021;286001002;01/22/2021;2907;152.58;97.44;443550.06;283258.08;160291.98
United Arab Emirates;Cosmetics;Offline;H;01/20/2021;483226621;01/22/2021;6350;437.20;263.33;2776220.00;1672145.50;1104074.50
Australia;Clothes;Offline;M;01/20/2021;241836822;01/22/2021;3744;109.28;35.84;409144.32;134184.96;274959.36
Oman;Clothes;Online;H;01/20/2021;557192933;01/22/2021;4626;109.28;35.84;505529.28;165795.84;339733.44
Malawi;Meat;Online;L;01/20/2021;694968783;01/22/2021;5562;421.89;364.69;2346552.18;2028405.78;318146.40
Lebanon;Fruits;Online;H;01/20/2021;441150701;01/22/2021;5150;9.33;6.92;48049.50;35638.00;12411.50
Czech Republic;Cereal;Online;M;01/20/2021;552037513;01/22/2021;9022;205.70;117.11;1855825.40;1056566.42;799258.98
Vanuatu;Cosmetics;Offline;C;01/20/2021;504240548;01/22/2021;4838;437.20;263.33;2115173.60;1273990.54;841183.06
Luxembourg;Vegetables;Offline;L;01/20/2021;744683635;01/22/2021;7291;154.06;90.93;1123251.46;662970.63;460280.83
Benin;Personal Care;Online;L;01/20/2021;440603101;01/22/2021;3104;81.73;56.67;253689.92;175903.68;77786.24
Somalia;Clothes;Offline;L;01/20/2021;629547774;01/22/2021;6031;109.28;35.84;659067.68;216151.04;442916.64
Switzerland;Meat;Online;L;01/20/2021;169378983;01/22/2021;1860;421.89;364.69;784715.40;678323.40;106392.00
Saudi Arabia;Personal Care;Offline;L;01/20/2021;688270556;01/22/2021;3407;81.73;56.67;278454.11;193074.69;85379.42
Laos;Meat;Online;L;01/20/2021;734708821;01/22/2021;5522;421.89;364.69;2329676.58;2013818.18;315858.40
Kyrgyzstan;Snacks;Online;C;01/20/2021;727492606;01/22/2021;84;152.58;97.44;12816.72;8184.96;4631.76
Algeria;Baby Food;Offline;M;01/20/2021;705733239;01/22/2021;1003;255.28;159.42;256045.84;159898.26;96147.58
Angola;Office Supplies;Offline;C;01/20/2021;778854548;01/22/2021;9224;651.21;524.96;6006761.04;4842231.04;1164530.00
Mauritania;Cosmetics;Offline;M;01/20/2021;676592862;01/22/2021;7718;437.20;263.33;3374309.60;2032380.94;1341928.66
Lebanon;Household;Offline;M;01/20/2021;198997008;01/22/2021;6492;668.27;502.54;4338408.84;3262489.68;1075919.16
Finland;Beverages;Online;H;01/20/2021;566428315;01/22/2021;7581;47.45;31.79;359718.45;240999.99;118718.46
Taiwan;Baby Food;Online;M;01/20/2021;369560611;01/22/2021;52;255.28;159.42;13274.56;8289.84;4984.72
Belgium;Snacks;Online;M;01/20/2021;519380223;01/22/2021;5005;152.58;97.44;763662.90;487687.20;275975.70
Laos;Office Supplies;Online;H;01/20/2021;197185981;01/22/2021;568;651.21;524.96;369887.28;298177.28;71710.00
San Marino;Office Supplies;Online;H;01/20/2021;904589211;01/22/2021;6905;651.21;524.96;4496605.05;3624848.80;871756.25
Tuvalu;Household;Offline;H;01/20/2021;613513743;01/22/2021;1205;668.27;502.54;805265.35;605560.70;199704.65
Kiribati;Clothes;Offline;M;01/20/2021;516195905;01/22/2021;2694;109.28;35.84;294400.32;96552.96;197847.36
Kyrgyzstan;Vegetables;Offline;H;01/20/2021;975184524;01/22/2021;7626;154.06;90.93;1174861.56;693432.18;481429.38
Samoa ;Clothes;Online;M;01/20/2021;173340928;01/22/2021;4287;109.28;35.84;468483.36;153646.08;314837.28
Central African Republic;Personal Care;Offline;H;01/20/2021;863838946;01/22/2021;7995;81.73;56.67;653431.35;453076.65;200354.70
Uzbekistan;Cereal;Offline;L;01/20/2021;920164906;01/22/2021;6099;205.70;117.11;1254564.30;714253.89;540310.41
Dominica;Meat;Online;M;01/20/2021;986117637;01/22/2021;2977;421.89;364.69;1255966.53;1085682.13;170284.40
Qatar;Cereal;Online;L;01/20/2021;425808465;01/22/2021;5042;205.70;117.11;1037139.40;590468.62;446670.78
Saint Lucia;Beverages;Online;L;01/20/2021;473661220;01/22/2021;5736;47.45;31.79;272173.20;182347.44;89825.76
Bosnia and Herzegovina;Baby Food;Online;C;01/20/2021;184412229;01/22/2021;531;255.28;159.42;135553.68;84652.02;50901.66
South Korea;Vegetables;Offline;H;01/20/2021;483110320;01/22/2021;1934;154.06;90.93;297952.04;175858.62;122093.42
Trinidad and Tobago;Household;Online;H;01/20/2021;115116822;01/22/2021;4481;668.27;502.54;2994517.87;2251881.74;742636.13
Somalia;Baby Food;Online;M;01/20/2021;596105563;01/22/2021;9738;255.28;159.42;2485916.64;1552431.96;933484.68
Nigeria;Snacks;Online;C;01/20/2021;362062871;01/22/2021;1304;152.58;97.44;198964.32;127061.76;71902.56
South Africa;Beverages;Online;H;01/20/2021;619287574;01/22/2021;9810;47.45;31.79;465484.50;311859.90;153624.60
Saint Vincent and the Grenadines;Clothes;Offline;H;01/20/2021;394391000;01/22/2021;7916;109.28;35.84;865060.48;283709.44;581351.04
Sudan;Beverages;Online;M;01/20/2021;584296977;01/22/2021;5315;47.45;31.79;252196.75;168963.85;83232.90
Algeria;Clothes;Offline;M;01/20/2021;806241834;01/22/2021;3730;109.28;35.84;407614.40;133683.20;273931.20
Netherlands;Meat;Offline;M;01/20/2021;747774398;01/22/2021;1916;421.89;364.69;808341.24;698746.04;109595.20
Panama;Meat;Online;H;01/20/2021;616755998;01/22/2021;660;421.89;364.69;278447.40;240695.40;37752.00
Solomon Islands;Baby Food;Offline;C;01/20/2021;691360461;01/22/2021;7779;255.28;159.42;1985823.12;1240128.18;745694.94
Saint Vincent and the Grenadines;Beverages;Online;C;01/20/2021;870074117;01/22/2021;3121;47.45;31.79;148091.45;99216.59;48874.86
Iran;Office Supplies;Online;H;01/20/2021;221695792;01/22/2021;3566;651.21;524.96;2322214.86;1872007.36;450207.50
Vanuatu;Fruits;Online;M;01/20/2021;135336816;01/22/2021;8026;9.33;6.92;74882.58;55539.92;19342.66
Federated States of Micronesia;Office Supplies;Online;L;01/20/2021;270421016;01/22/2021;2443;651.21;524.96;1590906.03;1282477.28;308428.75
Equatorial Guinea;Household;Online;H;01/20/2021;806684720;01/22/2021;4790;668.27;502.54;3201013.30;2407166.60;793846.70
Russia;Household;Online;M;01/20/2021;194176757;01/22/2021;72;668.27;502.54;48115.44;36182.88;11932.56
Azerbaijan;Baby Food;Offline;H;01/20/2021;103258454;01/22/2021;5326;255.28;159.42;1359621.28;849070.92;510550.36
Iraq;Office Supplies;Online;H;01/20/2021;474603641;01/22/2021;4619;651.21;524.96;3007938.99;2424790.24;583148.75
Mauritius ;Cereal;Online;H;01/20/2021;869198644;01/22/2021;4049;205.70;117.11;832879.30;474178.39;358700.91
Eritrea;Household;Online;H;01/20/2021;918342292;01/22/2021;6747;668.27;502.54;4508817.69;3390637.38;1118180.31
Ukraine;Cosmetics;Online;H;01/20/2021;773645913;01/22/2021;7873;437.20;263.33;3442075.60;2073197.09;1368878.51
Myanmar;Cosmetics;Online;C;01/20/2021;657033336;01/22/2021;9620;437.20;263.33;4205864.00;2533234.60;1672629.40
Bosnia and Herzegovina;Meat;Online;H;01/20/2021;410740888;01/22/2021;6211;421.89;364.69;2620358.79;2265089.59;355269.20
Latvia;Meat;Offline;M;01/20/2021;847317397;01/22/2021;8902;421.89;364.69;3755664.78;3246470.38;509194.40
Serbia;Beverages;Online;L;01/20/2021;599624192;01/22/2021;978;47.45;31.79;46406.10;31090.62;15315.48
Mongolia;Beverages;Offline;H;01/20/2021;170835101;01/22/2021;2758;47.45;31.79;130867.10;87676.82;43190.28
Grenada;Cereal;Online;H;01/20/2021;584436452;01/22/2021;6588;205.70;117.11;1355151.60;771520.68;583630.92
Namibia;Office Supplies;Online;H;01/20/2021;234227073;01/22/2021;1851;651.21;524.96;1205389.71;971700.96;233688.75
Portugal;Office Supplies;Online;M;01/20/2021;734318292;01/22/2021;9956;651.21;524.96;6483446.76;5226501.76;1256945.00
Barbados;Snacks;Online;H;01/20/2021;169133937;01/22/2021;9345;152.58;97.44;1425860.10;910576.80;515283.30
Sri Lanka;Cereal;Online;C;01/20/2021;743410336;01/22/2021;494;205.70;117.11;101615.80;57852.34;43763.46
Poland;Household;Offline;L;01/20/2021;232196319;01/22/2021;905;668.27;502.54;604784.35;454798.70;149985.65
Senegal;Beverages;Offline;L;01/20/2021;530853211;01/22/2021;117;47.45;31.79;5551.65;3719.43;1832.22
Kiribati;Fruits;Online;L;01/20/2021;905054843;01/22/2021;4695;9.33;6.92;43804.35;32489.40;11314.95
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
